""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSMUSG00000037552"	1875.77385529828	-0.0831796611439727	0.237117806567844	-0.350794663412059	0.725742401091158	0.89793429738746
"ENSMUSG00000052609"	916.438977725034	0.688135937517039	0.347160310865327	1.98218493295447	0.0474585463809777	0.247667244008587
"ENSMUSG00000040624"	424.16068872011	0.377194501744786	0.394198663303906	0.956863979657864	0.338635914106415	0.656121873206306
"ENSMUSG00000038167"	112.764652538929	0.535820768418835	0.688539893623288	0.77819858134755	0.43645195302727	0.731308460490018
"ENSMUSG00000014782"	78.7460643924565	1.79024691000034	0.63403031306342	2.82359829351135	0.00474878621742905	0.0690611812391972
"ENSMUSG00000039713"	1875.22417554775	0.757109021261006	0.246505911136028	3.07136253963182	0.00213084252566567	0.040475790457511
"ENSMUSG00000060739"	10693.404043024	0.306041345932005	0.389794799161002	0.785134503053225	0.432374712055196	0.727358777861122
"ENSMUSG00000020572"	3383.98613003282	-0.905595683541242	0.399131162402502	-2.26891751095094	0.0232733426440749	0.175329118173214
"ENSMUSG00000038886"	299.145617694532	0.983510269856523	0.4637653322729	2.12070674846774	0.0339464882657452	0.208145445250523
"ENSMUSG00000028614"	2565.8704873753	-0.248510694843137	0.214382552331717	-1.15919272412903	0.246377636547516	0.570381588682863
"ENSMUSG00000066571"	2114.5899682935	0.715041239731375	0.372179412180078	1.92122727999099	0.0547030603795217	0.266810107886018
"ENSMUSG00000001930"	331.312427294376	0.611673547818981	0.498776208288406	1.22634868635373	0.22006748725428	0.543181305283436
"ENSMUSG00000028522"	1104.77439430749	-0.81455378453092	0.441610048393952	-1.84450917159447	0.0651089704383727	0.290763512934883
"ENSMUSG00000038500"	867.657476120444	-0.393062897296984	0.275006313680654	-1.42928681176906	0.152921814982927	0.453624494322226
"ENSMUSG00000097930"	74.8479290518014	-0.28806930697437	0.653774521814674	-0.440624859737237	0.659484602543992	0.865068043051748
"ENSMUSG00000042797"	273.068907565335	-0.23167280005284	0.581939485206249	-0.398104624178803	0.690553065912736	0.879431750298089
"ENSMUSG00000039952"	12752.1970616946	0.87163362983997	0.247589766762366	3.52047518456833	0.000430774299388855	0.0128389470535244
"ENSMUSG00000068566"	2083.17568032275	-0.825687765186323	0.237623415126391	-3.47477442299675	0.000511283101623376	0.0145210178071227
"ENSMUSG00000090086"	23.330093681647	-0.695288270464135	0.741004111068794	-0.938305550641655	0.348087408056617	0.665144080106322
"ENSMUSG00000024142"	465.873947446806	-0.598277786595871	0.464206402643072	-1.28881847210515	0.197461202589448	0.516173900920909
"ENSMUSG00000086782"	32.2321041402017	0.290187465338264	0.776952141998275	0.37349464613344	0.708780329294177	0.889499554471622
"ENSMUSG00000048279"	242.937235297886	-1.69417804304647	0.618544020534146	-2.73897731900061	0.00616306250260555	0.0797812408599092
"ENSMUSG00000090641"	20.1218757764682	-2.18648079439954	1.3833872558795	-1.58052691688957	0.113986247670979	0.390978363330888
"ENSMUSG00000048897"	3488.39965436023	0.70514044344088	0.385459512345038	1.82935021930315	0.0673471599718862	0.296111521730617
"ENSMUSG00000025529"	1058.34660981555	0.150830784819531	0.493022026345039	0.305931128346733	0.759657084529364	0.914087194562573
"ENSMUSG00000012640"	320.087166461005	-0.233294031704721	0.511596324418771	-0.456011938650593	0.648381393193841	0.85910973732456
