""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSMUSG00000037552"	1875.77385529828	0.0542177879088786	0.237044693752021	0.228723904554461	0.819083514095549	0.915233168184513
"ENSMUSG00000052609"	916.438977725034	0.448489246191301	0.347440663294774	1.2908369502242	0.196760222069425	0.440189079419608
"ENSMUSG00000040624"	424.16068872011	-1.11461922327923	0.398352003793153	-2.79807610521774	0.00514079981596019	0.0508632314089553
"ENSMUSG00000038167"	112.764652538929	0.729878610584028	0.687963143454513	1.0609269079722	0.288723119647203	0.540613393355238
"ENSMUSG00000014782"	78.7460643924565	-2.12876211289516	0.695193018261922	-3.06211664526976	0.00219777790055589	0.0310735125972054
"ENSMUSG00000039713"	1875.22417554775	-0.365126606565541	0.24742958614154	-1.47567884770527	0.140030126970274	0.364272520388424
"ENSMUSG00000060739"	10693.404043024	0.112191935801536	0.389814539413672	0.28780849470183	0.773493334548241	0.89149366641848
"ENSMUSG00000020572"	3383.98613003282	-1.04239114851014	0.399200660165355	-2.61119595362986	0.00902261783727027	0.0712087776156446
"ENSMUSG00000038886"	299.145617694532	-1.67998652843448	0.474811786146644	-3.53821572557936	0.000402840791855533	0.0117214470229614
"ENSMUSG00000028614"	2565.8704873753	-0.136825685233375	0.214337960591404	-0.638364220952016	0.523236615854585	0.737508075238269
"ENSMUSG00000066571"	2114.5899682935	-0.278529780503805	0.372652775262334	-0.747424409512932	0.454807415646444	0.684123573975513
"ENSMUSG00000001930"	331.312427294376	-1.17624705189582	0.503899279522922	-2.33429000535477	0.0195805417252744	0.115841497237758
"ENSMUSG00000028522"	1104.77439430749	-0.248629613192412	0.441147934585117	-0.563596910923405	0.573028489605105	0.772102682822856
"ENSMUSG00000038500"	867.657476120444	0.0917660179289377	0.274306978402989	0.334537671856539	0.737973868696688	0.871652828188602
"ENSMUSG00000097930"	74.8479290518014	-0.335236614251795	0.65454222664928	-0.512169575319734	0.608532334357801	0.795144781438302
"ENSMUSG00000042797"	273.068907565335	0.50540900418431	0.580393321186568	0.870804307587553	0.383861012866208	0.627814453609485
"ENSMUSG00000039952"	12752.1970616946	0.0281398883691337	0.247683591141761	0.113612243101837	0.909545181605461	0.959195369582295
"ENSMUSG00000068566"	2083.17568032275	-0.17106093249621	0.237093180033579	-0.721492421131569	0.470606601961681	0.697655238181822
"ENSMUSG00000090086"	23.330093681647	0.997585522604385	0.7017226363565	1.42162368850472	0.155135524171904	0.385296186018514
"ENSMUSG00000024142"	465.873947446806	-0.0472168010224405	0.463264359997759	-0.101921937233999	0.918818637241553	0.96328164381472
"ENSMUSG00000086782"	32.2321041402017	-0.125619939990584	0.783489433115473	-0.160333930083867	0.872618032259074	0.944151311685006
"ENSMUSG00000048279"	242.937235297886	-0.418189307399711	0.613922004770833	-0.681176605741334	0.495759748971972	0.717450038450171
"ENSMUSG00000090641"	20.1218757764682	-3.26577319865392	1.43395353563766	-2.2774609619423	0.0227587132741138	0.126384182298833
"ENSMUSG00000048897"	3488.39965436023	-1.31017745206171	0.386206010657695	-3.39243154147322	0.000692752404652619	0.016203368707859
"ENSMUSG00000025529"	1058.34660981555	0.292608301330556	0.492961049471736	0.593572862691929	0.552797836030175	0.759377680593522
"ENSMUSG00000012640"	320.087166461005	-1.28208142718001	0.514876889809738	-2.49007374880193	0.0127716590742045	0.0892160126609506
"ENSMUSG00000038437"	2706.91846829183	-0.433794663446618	0.509672131733915	-0.851124941775488	0.394699951679167	0.636542378267341
"ENSMUSG00000030469"	299.64006874426	-0.223286074580538	0.56604549384706	-0.394466658612546	0.693236538353641	0.844823675562961
"ENSMUSG00000024212"	1279.16306845675	0.569860926041713	0.283133191116883	2.01269559317213	0.0441466632821494	0.188628881835006
"ENSMUSG00000028496"	242.826688709303	-0.448422534351943	0.596909863912274	-0.751239946702985	0.452508263346892	0.682582035187165
"ENSMUSG00000060862"	558.334916460623	0.490303980933967	0.351931942238001	1.39317840209682	0.163565849195136	0.396807502997687
"ENSMUSG00000022863"	799.504171844847	0.475683688992932	0.66262593071669	0.717876658522007	0.472833341124924	0.700079165769909
"ENSMUSG00000020423"	1200.80131062949	-0.316940175426986	0.530859326751153	-0.597032319968177	0.550485802489352	0.757318004998767
"ENSMUSG00000036478"	1349.90948444338	-0.565700275983514	0.360908620592815	-1.56743353775899	0.117013389898464	0.32921493443975
"ENSMUSG00000075046"	7.73428771431404	-4.77123788809572	1.94452984408733	-2.45367172049505	0.0141406006168571	0.0955670995995148
"ENSMUSG00000063895"	7252.78452984662	0.0346618409652105	0.315440547074116	0.109883910888179	0.912501442519208	0.960127039389182
"ENSMUSG00000033054"	4123.56081962298	-0.396029273773628	0.2412301520502	-1.64170718464421	0.10065070199342	0.303225162430878
"ENSMUSG00000075271"	302.097618685167	-0.696156447742757	0.363362418747267	-1.91587355165357	0.0553811927344401	0.215337084590788
"ENSMUSG00000033128"	2083.64939608601	0.00524606573138753	0.26603873258965	0.0197191802874783	0.984267390097465	0.99493993523554
"ENSMUSG00000020740"	2402.46797180704	0.00427189399523623	0.204492831643488	0.0208901894550702	0.983333252598506	0.994700116522404
"ENSMUSG00000025006"	356.438938609732	-0.453595237417778	0.405202044794309	-1.11942978384533	0.262956830620036	0.515320168594299
