ensg	ivd ESCs (cardio)	ivd cardiomyocytes	ivd ESCs (mneu)	ivd motor neurons	ivd ESCs (ra)	ivd retinoic acid
ENSMUSG00000009566	2297.0	370.0	1785.0	154.0	2504.5	755.0
ENSMUSG00000028948	4700.0	733.0	3143.5	809.5	4801.0	2121.0
ENSMUSG00000002870	13946.0	3376.0	10125.0	2633.5	13510.0	6262.0
ENSMUSG00000020076	2413.0	3137.0	1396.0	1768.0	1330.0	1563.0
ENSMUSG00000063200	1323.0	571.0	1822.5	1188.5	1440.0	783.5
ENSMUSG00000005370	21601.0	1697.0	6924.5	800.5	21601.0	6047.0
ENSMUSG00000078427	3601.0	1488.0	3128.5	1985.0	2265.0	1020.5
ENSMUSG00000002297	6487.0	1611.0	4981.0	791.5	6241.5	2261.0
ENSMUSG00000019820	3571.0	5552.0	2420.0	2779.5	2578.0	9860.0
ENSMUSG00000035863	898.0	2937.0	1356.0	6038.5	586.5	830.0
ENSMUSG00000053436	2521.0	2742.0	2505.5	1648.0	4560.5	5284.0
ENSMUSG00000024758	3001.0	6276.0	10051.0	23354.0	2035.5	6004.5
ENSMUSG00000071659	8425.0	8311.0	3263.5	4944.5	7046.5	6874.5
ENSMUSG00000045690	480.0	154.0	565.0	169.0	672.0	171.0
ENSMUSG00000060376	3283.0	1645.0	1613.5	658.0	2182.5	859.0
ENSMUSG00000038215	1368.0	987.0	1030.5	422.0	1061.5	722.0
ENSMUSG00000026121	57.0	1737.0	375.5	1456.0	53.0	1705.0
ENSMUSG00000016619	3179.0	1915.0	3707.5	2198.5	4122.0	3723.0
ENSMUSG00000043059	666.0	318.0	591.5	474.0	767.5	576.5
ENSMUSG00000021660	23616.0	12563.0	20672.5	13494.5	11456.0	7463.5
ENSMUSG00000030629	2068.0	2291.0	2300.0	3353.5	1806.5	1693.0
ENSMUSG00000021365	21.0	748.0	128.0	3213.0	73.5	727.0
ENSMUSG00000021945	2461.0	3308.0	4364.0	5416.5	2497.0	3115.0
ENSMUSG00000038622	575.0	273.0	1002.0	548.0	615.5	296.5
ENSMUSG00000022841	7184.0	6120.0	6690.5	13095.5	6038.5	8745.5
ENSMUSG00000021758	444.0	54.0	290.5	11.5	615.0	489.0
ENSMUSG00000001687	1387.0	663.0	1248.5	1672.5	2715.5	1251.0
ENSMUSG00000004356	5359.0	855.0	4564.5	538.5	5471.5	4987.0
ENSMUSG00000037286	3680.0	3064.0	2861.5	2660.5	2958.0	3322.0
ENSMUSG00000002658	2527.0	767.0	3432.5	1822.0	3474.5	1781.5
ENSMUSG00000001143	238.0	776.0	357.0	1121.5	190.0	355.5
ENSMUSG00000060935	952.0	2622.0	843.0	1357.5	1982.5	3020.5
ENSMUSG00000039515	3074.0	3212.0	5529.5	4347.0	3007.0	3206.0
ENSMUSG00000071647	431.0	410.0	548.5	142.0	313.0	1066.5
ENSMUSG00000043421	154.0	613.0	588.0	257.5	275.5	484.0
ENSMUSG00000016664	3385.0	2607.0	958.5	473.0	2173.0	4658.5
ENSMUSG00000024668	466.0	473.0	1052.5	1294.5	427.0	452.5
ENSMUSG00000074030	304.0	175.0	570.0	555.0	595.5	755.5
ENSMUSG00000033676	179.0	97.0	298.5	1725.5	132.5	163.5
ENSMUSG00000032607	1853.0	701.0	1226.5	560.0	1229.5	560.5
ENSMUSG00000063060	74.0	181.0	13.5	83.0	96.0	2044.0
ENSMUSG00000021254	437.0	437.0	237.0	411.5	420.5	351.0
ENSMUSG00000049764	2295.0	1708.0	922.5	471.5	3251.5	3238.0
ENSMUSG00000033669	1483.0	486.0	1349.0	416.5	1262.5	491.0
ENSMUSG00000014763	219.0	462.0	513.5	1210.0	222.5	413.0
ENSMUSG00000102976	4101.0	3389.0	1948.0	1689.5	5912.0	5788.5
ENSMUSG00000053819	160.0	1551.0	201.0	489.5	146.0	1454.0
ENSMUSG00000020634	1999.0	383.0	575.5	208.5	1513.0	502.5
ENSMUSG00000018707	16969.0	12240.0	7940.0	11739.5	12096.5	15554.0
ENSMUSG00000022098	52.0	1064.0	190.5	2309.0	88.0	2266.5
ENSMUSG00000037149	8965.0	3735.0	7699.5	4740.5	7480.0	6927.0
ENSMUSG00000024878	1383.0	740.0	1098.0	583.5	1023.0	825.0
ENSMUSG00000038607	122.0	593.0	854.5	1684.5	44.0	356.0
ENSMUSG00000020038	1232.0	467.0	846.5	410.5	1991.0	600.0
ENSMUSG00000027177	355.0	8965.0	419.5	517.0	660.5	3013.5
ENSMUSG00000041084	1848.0	1363.0	4590.0	2542.5	1956.5	2235.5
ENSMUSG00000006906	135.0	605.0	131.0	594.0	90.5	182.5
ENSMUSG00000021179	804.0	312.0	762.0	269.5	1255.0	676.0
ENSMUSG00000028609	2093.0	700.0	4541.5	2069.0	1644.5	1233.0
ENSMUSG00000021484	2704.0	3122.0	3691.0	2600.5	3645.0	5056.5
ENSMUSG00000022131	255.0	154.0	581.0	646.0	346.5	436.5
ENSMUSG00000038803	1066.0	2350.0	5283.5	2037.5	1211.0	1644.0
ENSMUSG00000033998	110.0	157.0	1161.0	22.0	152.0	454.5
ENSMUSG00000024502	25.0	13.0	341.0	1586.5	44.0	47.0
ENSMUSG00000031832	750.0	154.0	575.0	258.5	886.0	351.5
ENSMUSG00000013593	4889.0	6331.0	4340.0	5793.5	4004.5	3691.5
ENSMUSG00000032769	303.0	29.0	471.0	34.5	244.0	127.0
ENSMUSG00000008373	2601.0	924.0	4679.5	2739.0	2237.0	1815.0
ENSMUSG00000038143	284.0	1468.0	382.5	4382.5	133.5	1192.0
ENSMUSG00000028089	1342.0	196.0	944.0	275.0	1055.0	445.0
ENSMUSG00000073295	124.0	537.0	300.5	851.0	113.5	419.0
ENSMUSG00000036099	256.0	618.0	535.5	2712.5	172.0	474.5
ENSMUSG00000025209	1008.0	859.0	1047.0	306.5	1142.0	730.5
ENSMUSG00000033952	4347.0	2571.0	1444.0	631.5	3464.5	1572.5
ENSMUSG00000036295	18.0	623.0	109.0	1564.0	53.5	83.5
ENSMUSG00000038070	353.0	805.0	213.0	434.5	360.5	551.0
ENSMUSG00000036528	346.0	928.0	71.0	56.0	329.5	409.0
ENSMUSG00000006058	2510.0	548.0	60700.5	3949.5	7375.5	3085.0
ENSMUSG00000071655	4508.0	4189.0	4071.5	2919.5	5481.5	3066.5
ENSMUSG00000031930	2132.0	1211.0	1997.0	1665.5	1741.0	1216.5
ENSMUSG00000029253	1858.0	1059.0	1552.5	1317.5	1268.0	1069.0
ENSMUSG00000039633	567.0	499.0	153.5	361.0	917.0	837.5
ENSMUSG00000017615	1158.0	2507.0	1801.5	1632.5	1509.5	3243.5
ENSMUSG00000032867	2206.0	3458.0	3167.0	3050.0	2484.0	4801.0
ENSMUSG00000041133	5800.0	5164.0	2849.0	3526.5	3423.5	3993.0
ENSMUSG00000029475	3131.0	2029.0	3937.0	2683.0	2375.0	3555.0
ENSMUSG00000041417	304.0	282.0	262.5	2079.0	719.0	1984.5
ENSMUSG00000019254	1856.0	1010.0	709.5	929.0	1714.0	1746.5
ENSMUSG00000029345	1635.0	1001.0	1167.0	964.5	2489.5	1715.0
ENSMUSG00000059586	867.0	798.0	967.0	822.5	671.0	545.5
ENSMUSG00000010097	3631.0	2677.0	3984.5	6644.0	4083.0	3234.5
ENSMUSG00000032513	502.0	728.0	782.5	368.5	252.0	420.0
ENSMUSG00000027959	334.0	324.0	538.5	586.0	376.5	353.5
ENSMUSG00000027364	484.0	83.0	2803.0	1254.0	818.0	614.0
ENSMUSG00000028959	1629.0	1583.0	1294.5	1403.0	1010.0	1274.0
ENSMUSG00000029086	126.0	898.0	1786.0	2553.0	163.5	213.5
ENSMUSG00000022099	2653.0	20.0	296.0	384.0	1871.0	104.5
ENSMUSG00000071176	546.0	864.0	150.5	217.0	430.5	500.0
ENSMUSG00000059689	90.0	229.0	252.5	744.0	94.5	127.0
ENSMUSG00000086629	435.0	304.0	2085.5	502.5	482.0	359.5
ENSMUSG00000020544	339.0	145.0	357.0	152.5	664.0	302.5
ENSMUSG00000029238	608.0	908.0	252.0	761.5	946.5	903.5
ENSMUSG00000020782	5044.0	1947.0	1443.5	18.5	3029.0	2847.5
ENSMUSG00000027589	1222.0	3368.0	819.5	1221.5	699.5	797.0
ENSMUSG00000030435	8438.0	5088.0	9970.0	7313.0	10325.5	7619.0
ENSMUSG00000005374	1011.0	2160.0	553.0	343.0	1003.0	1143.5
ENSMUSG00000025373	556.0	866.0	1517.5	1678.5	781.0	1183.5
ENSMUSG00000016308	622.0	532.0	1264.5	787.5	940.5	475.5
ENSMUSG00000054387	6423.0	3216.0	1695.0	2651.0	6938.0	3828.0
ENSMUSG00000007721	825.0	324.0	2553.5	1382.5	1527.5	916.5
ENSMUSG00000038628	477.0	477.0	1381.0	2680.0	659.5	623.0
ENSMUSG00000019467	1169.0	1526.0	1085.0	474.5	350.0	978.0
ENSMUSG00000069227	0.0	1.0	144.5	3682.5	2.0	24.5
ENSMUSG00000013033	3832.0	6015.0	2758.0	3304.5	2862.0	2305.5
ENSMUSG00000030313	470.0	2157.0	2539.5	1829.5	402.5	762.5
ENSMUSG00000021066	113.0	142.0	56.5	2094.0	66.5	101.5
ENSMUSG00000062202	813.0	923.0	1242.0	1756.0	1093.0	948.0
ENSMUSG00000055202	126.0	103.0	141.0	1854.5	62.0	59.0
ENSMUSG00000047757	630.0	372.0	723.5	274.5	607.0	535.5
ENSMUSG00000060090	839.0	1056.0	594.0	728.0	796.0	787.5
ENSMUSG00000022456	497.0	259.0	775.5	8537.5	288.5	164.0
ENSMUSG00000070699	780.0	116.0	810.5	286.0	680.5	262.0
ENSMUSG00000038774	1971.0	2979.0	1868.5	1145.5	1204.0	1485.5
ENSMUSG00000021027	1772.0	2184.0	1277.5	2074.0	1130.0	1600.0
ENSMUSG00000025056	4224.0	6.0	233.0	43.5	6781.5	43.0
ENSMUSG00000061244	841.0	710.0	1694.5	3408.5	2315.5	2472.0
ENSMUSG00000063810	1468.0	488.0	1338.5	520.5	1259.5	612.0
ENSMUSG00000021140	785.0	5315.0	719.0	2784.5	789.5	1067.0
ENSMUSG00000036461	225.0	340.0	89.5	97.0	294.0	1276.0
ENSMUSG00000026922	880.0	306.0	799.5	25.0	1253.0	257.5
ENSMUSG00000030533	1206.0	238.0	1276.0	1312.5	1430.0	1656.5
ENSMUSG00000034917	480.0	58.0	71.0	15.0	397.0	45.5
ENSMUSG00000022013	438.0	393.0	1357.0	611.0	526.0	312.0
ENSMUSG00000079065	238.0	234.0	222.5	476.5	256.0	211.0
ENSMUSG00000046139	1867.0	1633.0	1206.5	800.5	1816.0	1500.0
ENSMUSG00000022246	4275.0	2333.0	3417.5	4766.5	3622.5	8754.0
ENSMUSG00000033430	370.0	541.0	380.5	1028.5	673.5	485.0
ENSMUSG00000027667	724.0	626.0	1660.0	873.0	674.5	553.0
ENSMUSG00000025006	237.0	421.0	64.5	251.5	132.0	428.5
ENSMUSG00000036835	563.0	1122.0	1756.5	1648.0	487.5	367.5
ENSMUSG00000007891	7272.0	10379.0	4745.5	3702.0	5488.0	10928.0
ENSMUSG00000056515	1061.0	1058.0	1577.0	3265.0	681.0	1092.0
ENSMUSG00000002768	894.0	851.0	2768.0	2046.0	961.5	707.5
ENSMUSG00000014873	633.0	380.0	2492.5	864.0	933.5	443.0
ENSMUSG00000083282	464.0	1000.0	245.5	365.5	120.0	342.0
ENSMUSG00000044791	4421.0	4243.0	2331.5	2978.5	4884.0	5746.5
ENSMUSG00000062981	1563.0	872.0	4834.5	1638.5	1690.0	664.0
ENSMUSG00000053846	20.0	58.0	39.0	118.0	10.0	965.5
ENSMUSG00000036167	470.0	1216.0	2350.5	1239.0	841.5	1104.0
ENSMUSG00000022428	457.0	274.0	940.0	725.5	334.5	153.0
ENSMUSG00000079179	261.0	70.0	216.0	266.5	856.0	558.0
ENSMUSG00000025218	411.0	410.0	297.0	172.0	278.0	177.5
ENSMUSG00000071649	374.0	749.0	615.0	2634.0	154.0	661.0
ENSMUSG00000026097	880.0	1016.0	1531.5	1688.5	1002.5	1015.0
ENSMUSG00000032515	912.0	362.0	387.5	16.0	604.5	2089.5
ENSMUSG00000029287	40.0	616.0	83.5	90.0	119.5	1928.5
ENSMUSG00000062300	3907.0	2515.0	4633.0	976.0	2604.0	4928.0
ENSMUSG00000003955	590.0	3425.0	1671.0	801.0	2201.0	768.0
ENSMUSG00000050017	3128.0	1577.0	2831.5	2622.0	3196.5	2326.0
ENSMUSG00000020263	608.0	897.0	202.0	348.5	507.5	687.5
ENSMUSG00000006276	1735.0	1597.0	880.0	1674.0	1936.5	2030.0
ENSMUSG00000021368	279.0	240.0	417.5	511.0	355.0	234.0
ENSMUSG00000075334	24.0	97.0	149.5	1518.5	43.0	56.5
ENSMUSG00000034024	16365.0	13965.0	28106.5	20997.0	16983.0	14514.0
ENSMUSG00000025484	376.0	462.0	661.5	219.0	640.0	673.0
ENSMUSG00000019066	294.0	254.0	104.5	478.5	229.0	61.0
ENSMUSG00000028466	205.0	497.0	568.0	1213.0	353.5	2451.5
ENSMUSG00000016554	11658.0	7400.0	8101.0	4322.0	11041.5	6424.0
ENSMUSG00000020918	4082.0	1356.0	2590.5	881.5	3502.0	1940.5
ENSMUSG00000060591	5390.0	3743.0	3836.5	1065.5	5719.0	1438.5
ENSMUSG00000022012	828.0	90.0	159.0	454.5	2327.5	51.5
ENSMUSG00000068101	848.0	70.0	1438.5	231.5	752.5	126.0
ENSMUSG00000029848	978.0	24.0	773.5	34.5	50.0	253.5
ENSMUSG00000050244	6092.0	328.0	6105.5	942.0	7463.5	2869.5
ENSMUSG00000058057	44.0	13.0	1383.0	103.5	74.0	37.5
ENSMUSG00000021967	307.0	142.0	1235.5	923.5	905.5	557.0
ENSMUSG00000026615	19699.0	8825.0	9845.5	5862.0	11997.0	13034.0
ENSMUSG00000021495	898.0	704.0	710.0	2012.0	669.0	1208.5
ENSMUSG00000020948	674.0	735.0	289.5	476.5	624.5	585.5
ENSMUSG00000020265	2986.0	4338.0	6336.0	5147.0	3441.0	3778.0
ENSMUSG00000054277	194.0	698.0	88.5	502.0	143.5	676.0
ENSMUSG00000033386	1438.0	52.0	297.5	9.0	1502.0	320.0
ENSMUSG00000020441	223.0	213.0	590.0	264.0	375.5	365.5
ENSMUSG00000002968	3356.0	1568.0	4080.0	2823.5	2993.5	2343.0
ENSMUSG00000039640	3041.0	1362.0	6403.0	2254.0	3465.0	1541.5
ENSMUSG00000033004	3368.0	3102.0	2309.5	4201.0	2569.0	4963.5
ENSMUSG00000034880	816.0	566.0	2109.0	1288.0	688.5	357.0
ENSMUSG00000074867	484.0	545.0	1060.5	172.5	685.5	253.0
ENSMUSG00000032264	1284.0	377.0	1009.0	579.5	1107.5	730.0
ENSMUSG00000035890	1514.0	1076.0	2453.5	1553.0	3097.5	1909.0
ENSMUSG00000042423	430.0	888.0	452.5	806.0	935.5	969.0
ENSMUSG00000021133	1341.0	2707.0	1485.0	1093.5	1949.5	5753.0
ENSMUSG00000040177	284.0	162.0	324.0	236.0	409.0	360.0
ENSMUSG00000037992	1797.0	1623.0	1366.5	1986.5	1411.0	1400.5
ENSMUSG00000028525	17.0	1341.0	290.5	445.0	46.0	72.0
ENSMUSG00000037348	33.0	428.0	79.0	351.0	71.5	100.0
ENSMUSG00000028896	4401.0	547.0	3300.5	1094.0	4044.5	1736.5
ENSMUSG00000019929	0.0	141.0	516.0	490.5	153.5	402.5
ENSMUSG00000074802	661.0	2260.0	1501.0	277.0	876.0	1125.5
ENSMUSG00000020015	872.0	698.0	813.0	1164.0	1270.0	1184.0
ENSMUSG00000067873	1417.0	1048.0	816.5	1401.0	1566.5	1290.0
ENSMUSG00000001542	1401.0	287.0	813.5	138.5	778.0	427.0
ENSMUSG00000010830	1424.0	435.0	25.5	34.5	614.5	2871.0
ENSMUSG00000090841	8200.0	19630.0	11809.5	12438.5	6687.0	19630.0
ENSMUSG00000008734	259.0	347.0	524.0	669.5	257.5	179.5
ENSMUSG00000010406	311.0	205.0	2173.5	1754.0	996.5	448.0
ENSMUSG00000102718	418.0	300.0	353.5	523.0	637.5	552.5
ENSMUSG00000022008	1208.0	1064.0	954.5	987.0	1008.0	740.0
ENSMUSG00000004768	924.0	260.0	866.5	523.5	1099.0	670.0
ENSMUSG00000036499	1070.0	2006.0	554.5	1202.0	855.5	1595.0
ENSMUSG00000022982	12253.0	6498.0	12812.0	8236.0	10822.5	6905.0
ENSMUSG00000038538	1362.0	1688.0	894.0	2856.5	1772.0	1777.5
ENSMUSG00000021892	32.0	1220.0	41.0	438.5	33.0	422.0
ENSMUSG00000035354	746.0	604.0	509.5	190.5	498.5	561.0
ENSMUSG00000020598	81.0	117.0	1135.5	3276.5	91.0	408.5
ENSMUSG00000027797	17.0	192.0	140.5	6707.5	63.5	40.0
ENSMUSG00000030061	4813.0	2255.0	3694.5	3026.0	3325.0	2526.0
ENSMUSG00000037104	177.0	391.0	205.0	626.5	214.0	714.0
ENSMUSG00000019179	8102.0	6156.0	8224.5	9364.0	8203.0	9340.0
ENSMUSG00000014606	2118.0	3940.0	1785.5	1956.0	1321.5	1424.5
ENSMUSG00000029710	889.0	3606.0	1512.0	211.5	906.5	1848.5
ENSMUSG00000006356	824.0	3557.0	2580.0	1798.0	1202.5	942.0
ENSMUSG00000047407	4271.0	1265.0	2236.5	189.0	3974.5	1678.0
ENSMUSG00000056531	1067.0	600.0	686.0	245.5	625.5	611.0
ENSMUSG00000056851	69728.0	10701.0	57672.0	14472.5	35409.0	19193.5
ENSMUSG00000024987	6.0	3.0	8.0	430.0	8.0	14489.0
ENSMUSG00000039953	4454.0	3689.0	2682.0	7456.5	3107.0	4133.0
ENSMUSG00000090286	342.0	144.0	258.0	317.0	377.0	382.5
ENSMUSG00000022211	21.0	226.0	26.0	857.0	28.5	60.5
ENSMUSG00000044150	1065.0	264.0	444.0	370.0	1708.0	560.0
ENSMUSG00000010660	728.0	314.0	82.0	559.0	504.5	226.5
ENSMUSG00000008035	571.0	372.0	1222.0	539.5	361.5	155.0
ENSMUSG00000095123	147.0	78.0	532.5	242.0	1235.0	569.0
ENSMUSG00000044857	466.0	771.0	491.0	861.0	550.0	901.5
ENSMUSG00000034789	858.0	430.0	352.0	388.5	800.5	1120.0
ENSMUSG00000032384	628.0	890.0	826.5	973.5	989.0	2115.5
ENSMUSG00000036299	931.0	370.0	1949.0	2902.5	619.0	707.5
ENSMUSG00000017764	1429.0	83.0	555.0	213.5	1729.0	259.0
ENSMUSG00000028763	15573.0	13965.0	2795.0	244.0	8616.0	35457.0
ENSMUSG00000024985	100.0	311.0	218.5	421.0	314.0	1671.5
ENSMUSG00000022788	1753.0	482.0	2683.0	3406.0	2564.5	1996.0
ENSMUSG00000025212	112.0	1147.0	13.0	740.5	227.5	255.0
ENSMUSG00000044026	685.0	49.0	615.0	249.5	1176.5	475.5
ENSMUSG00000071337	879.0	1117.0	1642.0	6362.0	469.5	1195.5
ENSMUSG00000053907	10268.0	472.0	9400.5	6029.5	11844.5	4397.0
ENSMUSG00000032849	4148.0	124.0	878.0	75.5	2250.0	329.5
ENSMUSG00000006676	4252.0	5115.0	3216.5	2383.0	5063.5	5028.0
ENSMUSG00000024413	1095.0	3833.0	833.5	722.5	1293.0	2995.0
ENSMUSG00000031669	1399.0	348.0	2519.5	744.0	1928.5	919.5
ENSMUSG00000053799	601.0	220.0	720.0	337.0	418.0	430.0
ENSMUSG00000045576	539.0	625.0	651.0	798.0	507.0	581.5
ENSMUSG00000022779	2333.0	1011.0	1723.5	865.5	2158.0	1509.5
ENSMUSG00000059995	4194.0	1860.0	2698.0	3355.5	4015.0	2277.5
ENSMUSG00000039016	1070.0	1229.0	3198.5	2375.5	664.5	477.0
ENSMUSG00000025474	1422.0	1153.0	1767.5	1382.5	1225.5	1431.0
ENSMUSG00000036391	726.0	800.0	521.5	439.0	1205.0	2556.0
ENSMUSG00000007029	7837.0	2830.0	6103.5	2413.5	7557.5	4728.0
ENSMUSG00000031928	1707.0	809.0	1777.5	371.0	1541.0	1093.0
ENSMUSG00000048865	464.0	76.0	122.0	37.5	331.5	66.5
ENSMUSG00000016528	403.0	6028.0	1786.0	2360.0	983.5	4847.5
ENSMUSG00000025351	3443.0	4310.0	2463.0	1597.0	1523.5	5096.5
ENSMUSG00000007812	2601.0	1309.0	1622.5	911.5	1423.0	1499.0
ENSMUSG00000031134	131.0	198.0	599.5	4151.0	216.0	625.0
ENSMUSG00000022391	6411.0	4271.0	5308.0	5052.0	6166.0	5950.0
ENSMUSG00000024242	1378.0	1526.0	538.0	880.5	3129.5	1391.5
ENSMUSG00000094370	87.0	227.0	135.5	1195.5	207.5	204.5
ENSMUSG00000041328	2512.0	1742.0	2014.0	1520.0	2442.5	2152.5
ENSMUSG00000022247	4372.0	955.0	6768.0	1511.5	5359.0	2312.5
ENSMUSG00000027384	444.0	218.0	441.0	310.5	316.0	144.0
ENSMUSG00000020661	2067.0	10702.0	8147.5	1741.5	2232.0	2719.0
ENSMUSG00000024079	592.0	345.0	377.0	225.5	706.5	721.5
ENSMUSG00000001151	4488.0	1482.0	1452.0	431.0	4658.5	3409.0
ENSMUSG00000019894	774.0	384.0	673.5	608.0	729.0	677.0
ENSMUSG00000040972	348.0	2.0	12.5	888.0	185.5	2.5
ENSMUSG00000026235	1505.0	446.0	1126.0	1850.5	2025.5	1331.0
ENSMUSG00000028273	2327.0	7661.0	1620.0	750.5	1669.0	4264.5
ENSMUSG00000030083	1203.0	1083.0	469.5	344.5	670.0	353.5
ENSMUSG00000023977	2856.0	4148.0	1125.5	1277.0	1451.0	3176.5
ENSMUSG00000051811	1061.0	523.0	633.0	26.0	836.0	413.0
ENSMUSG00000036561	172.0	327.0	117.0	1306.0	131.5	265.5
ENSMUSG00000022749	890.0	1045.0	709.0	755.5	798.5	743.0
ENSMUSG00000021047	414.0	232.0	864.5	7492.5	485.5	442.0
ENSMUSG00000025584	332.0	179.0	18.5	22.0	679.0	125.0
ENSMUSG00000020462	1175.0	731.0	1258.0	2105.0	977.0	808.0
ENSMUSG00000094248	0.0	0.0	3746.5	2041.0	1.5	1.0
ENSMUSG00000026509	405.0	2989.0	504.5	1956.5	480.0	3570.5
ENSMUSG00000061991	78.0	1.0	3125.5	498.0	295.5	49.0
ENSMUSG00000038594	389.0	660.0	212.5	265.0	241.5	303.0
ENSMUSG00000042178	408.0	219.0	382.5	220.5	594.0	446.5
ENSMUSG00000051343	243.0	166.0	61.0	294.0	919.0	1146.0
ENSMUSG00000070858	9.0	96.0	74.5	2700.0	12.5	94.5
ENSMUSG00000040234	3915.0	2181.0	702.0	522.5	1112.5	689.0
ENSMUSG00000025016	2217.0	8004.0	2971.5	5606.5	3271.0	9979.5
ENSMUSG00000019947	2299.0	1598.0	178.5	64.0	2593.0	1082.5
ENSMUSG00000022663	1064.0	778.0	1196.5	1334.5	1115.5	1295.5
ENSMUSG00000005533	362.0	5150.0	459.0	605.5	314.0	2840.0
ENSMUSG00000024687	1143.0	2644.0	455.0	1065.5	1277.5	2794.0
ENSMUSG00000045394	1890.0	359.0	2766.0	24.0	3428.5	1284.5
ENSMUSG00000043140	717.0	562.0	697.5	592.5	465.5	319.5
ENSMUSG00000039000	3185.0	1199.0	4721.0	3804.5	3906.0	3602.0
ENSMUSG00000041491	898.0	141.0	1127.5	880.0	670.5	366.0
ENSMUSG00000102326	656.0	331.0	427.0	340.0	618.0	496.0
ENSMUSG00000029471	805.0	163.0	212.0	315.5	337.0	572.5
ENSMUSG00000020664	2473.0	3337.0	2833.5	3010.0	1917.5	2169.5
ENSMUSG00000003380	1605.0	1337.0	2140.0	2559.5	1110.0	1112.0
ENSMUSG00000047139	621.0	16369.0	5901.0	40255.5	596.5	3044.5
ENSMUSG00000034667	6016.0	1649.0	3490.0	1390.0	4708.0	3953.0
ENSMUSG00000025381	2315.0	2593.0	3882.0	2161.0	1018.5	1470.0
ENSMUSG00000037070	4203.0	2764.0	6577.0	4747.0	5087.0	2867.5
ENSMUSG00000031993	384.0	355.0	570.5	929.5	385.0	1005.5
ENSMUSG00000027522	1220.0	1356.0	683.0	731.0	1009.0	1576.0
ENSMUSG00000029594	1457.0	340.0	1523.0	268.5	1546.0	705.5
ENSMUSG00000022385	4886.0	883.0	4565.0	250.0	7872.5	4273.5
ENSMUSG00000036504	539.0	915.0	889.0	1490.5	450.5	675.5
ENSMUSG00000041236	3769.0	2553.0	2788.5	3346.0	2102.5	1974.5
ENSMUSG00000041992	273.0	93.0	508.5	167.5	117.0	146.5
ENSMUSG00000042572	2486.0	2037.0	2479.5	2846.0	2648.5	1900.5
ENSMUSG00000049036	126.0	9.0	601.5	276.5	110.5	54.0
ENSMUSG00000094856	592.0	336.0	812.5	104.5	312.0	130.5
ENSMUSG00000025995	4973.0	689.0	6019.0	1679.0	4687.0	2174.5
ENSMUSG00000026207	37.0	2360.0	304.0	594.0	36.0	618.5
ENSMUSG00000020413	1356.0	438.0	1002.0	360.0	1411.5	542.5
ENSMUSG00000037210	1312.0	1051.0	1620.0	2168.0	1262.5	1915.0
ENSMUSG00000039901	580.0	311.0	406.0	395.0	345.0	365.5
ENSMUSG00000029674	554.0	220.0	996.5	3054.0	669.0	684.0
ENSMUSG00000055204	5368.0	8135.0	7027.0	5679.0	7955.0	17556.5
ENSMUSG00000035234	427.0	239.0	440.0	138.0	330.0	180.5
ENSMUSG00000021474	1572.0	969.0	1962.5	2299.5	1700.0	2141.5
ENSMUSG00000037993	2167.0	1943.0	2229.5	933.5	4041.5	3698.5
ENSMUSG00000016028	838.0	169.0	865.0	843.0	327.0	469.0
ENSMUSG00000032846	364.0	865.0	453.5	2081.0	804.0	1155.5
ENSMUSG00000022711	330.0	220.0	911.0	944.5	289.5	640.0
ENSMUSG00000021196	5391.0	7495.0	277.0	641.5	9067.0	531.5
ENSMUSG00000032348	10058.0	1229.0	12432.0	1279.5	3831.0	865.0
ENSMUSG00000048216	9.0	54.0	47.0	729.0	18.0	21.5
ENSMUSG00000061838	3120.0	2162.0	1736.5	264.5	2656.0	1503.5
ENSMUSG00000031654	56.0	4.0	28.0	2398.0	73.0	5.5
ENSMUSG00000021598	487.0	419.0	1417.5	1644.5	1030.5	648.0
ENSMUSG00000079003	1703.0	825.0	1181.0	745.0	1602.5	801.5
ENSMUSG00000078521	582.0	89.0	559.5	38.0	550.5	81.5
ENSMUSG00000038122	276.0	420.0	188.5	154.0	150.5	138.0
ENSMUSG00000037669	843.0	631.0	1991.5	1174.0	782.0	603.5
ENSMUSG00000021427	3870.0	5693.0	3797.0	3628.0	4978.0	7387.0
ENSMUSG00000094472	6174.0	672.0	15226.5	3693.0	5875.5	6922.0
ENSMUSG00000090625	1413.0	214.0	84.5	145.0	410.0	273.0
ENSMUSG00000056201	13965.0	8987.0	15439.5	24011.0	14909.0	13965.0
ENSMUSG00000026176	1215.0	2685.0	1280.0	552.0	675.5	1319.0
ENSMUSG00000079557	355.0	425.0	348.5	584.0	258.0	306.0
ENSMUSG00000021987	312.0	675.0	440.5	1395.5	428.0	742.0
ENSMUSG00000061887	1475.0	3025.0	4524.0	10749.5	1116.5	5385.5
ENSMUSG00000031558	498.0	785.0	490.5	22625.5	339.5	905.0
ENSMUSG00000025609	2137.0	3478.0	2128.5	2925.0	1802.0	2639.0
ENSMUSG00000078441	1058.0	527.0	1078.0	439.5	1684.5	1190.0
ENSMUSG00000022427	3769.0	2314.0	5399.5	3378.0	2710.0	1490.0
ENSMUSG00000025872	2663.0	1479.0	2609.0	1699.0	2929.5	1965.0
ENSMUSG00000034333	1922.0	942.0	2037.0	2624.0	1550.5	1591.5
ENSMUSG00000025208	1551.0	753.0	1214.5	829.5	1546.0	1020.5
