ensg	ivd ESCs (cardio)	ivd cardiomyocytes	ivd ESCs (mneu)	ivd motor neurons	ivd ESCs (ra)	ivd retinoic acid
ENSMUSG00000022031	4082.0	3356.0	4390.5	3558.5	3856.0	2117.0
ENSMUSG00000017485	2396.0	6102.0	2419.0	16216.5	1825.0	6156.5
ENSMUSG00000024261	174.0	17.0	551.5	2837.5	321.5	46.0
ENSMUSG00000027499	239.0	617.0	704.0	6158.0	283.0	553.0
ENSMUSG00000070283	459.0	237.0	931.0	568.5	327.5	137.0
ENSMUSG00000029826	886.0	133.0	112.5	44.0	1300.0	941.5
ENSMUSG00000031697	2055.0	579.0	2753.5	1177.5	1932.0	1398.5
ENSMUSG00000039910	1312.0	2979.0	1429.0	661.0	1356.0	5831.0
ENSMUSG00000002957	4091.0	4832.0	3723.5	4872.5	6079.5	10944.0
ENSMUSG00000024258	998.0	771.0	2537.0	1678.5	2048.5	1091.0
ENSMUSG00000040112	1076.0	571.0	1176.0	598.0	984.0	411.5
ENSMUSG00000067713	892.0	1189.0	963.0	964.0	976.0	1262.0
ENSMUSG00000073568	90.0	20.0	42.0	4.0	396.5	30.0
ENSMUSG00000014905	329.0	751.0	351.5	491.0	372.5	558.5
ENSMUSG00000039183	1717.0	148.0	2239.5	937.5	2261.5	617.5
ENSMUSG00000068290	578.0	647.0	687.0	763.0	601.0	574.0
ENSMUSG00000035284	1815.0	1263.0	444.0	383.0	998.5	1553.0
ENSMUSG00000024454	1947.0	1350.0	3096.5	3315.0	1443.5	1446.5
ENSMUSG00000021975	1408.0	915.0	1927.0	589.0	1575.5	920.0
ENSMUSG00000039405	9.0	1016.0	155.0	780.0	60.5	817.5
ENSMUSG00000063802	969.0	446.0	1643.0	1917.5	963.0	740.0
ENSMUSG00000032534	279.0	218.0	494.0	418.5	583.5	429.5
ENSMUSG00000003604	613.0	89.0	574.5	226.0	486.0	218.0
ENSMUSG00000052299	2378.0	2237.0	1588.0	1038.5	2214.0	2081.5
ENSMUSG00000070047	4606.0	7000.0	7019.0	1961.5	10246.0	18786.0
ENSMUSG00000063245	1563.0	164.0	1162.5	120.5	612.5	209.5
ENSMUSG00000046034	415.0	161.0	650.5	298.0	706.5	642.0
ENSMUSG00000020160	41.0	1665.0	359.5	7455.5	46.5	2482.0
ENSMUSG00000022614	848.0	1215.0	847.0	609.0	955.5	2611.0
ENSMUSG00000049800	616.0	1180.0	458.0	361.0	858.5	1827.5
ENSMUSG00000032026	951.0	79.0	1980.0	538.5	620.0	724.5
ENSMUSG00000024259	1377.0	1751.0	1466.0	2007.5	1316.0	1409.5
ENSMUSG00000011158	464.0	441.0	451.0	768.0	799.5	937.5
ENSMUSG00000031840	88.0	1040.0	20.5	2915.5	47.5	92.0
ENSMUSG00000022570	1493.0	440.0	1791.5	779.5	1520.0	885.5
ENSMUSG00000024197	2561.0	3176.0	1905.0	196.5	2008.5	2189.0
ENSMUSG00000074781	3784.0	2148.0	7096.5	8985.0	4039.0	3439.0
ENSMUSG00000068079	1139.0	4.0	324.0	14.5	1882.0	71.0
ENSMUSG00000041685	1252.0	2204.0	709.5	742.5	1444.5	1772.5
ENSMUSG00000063905	377.0	49.0	280.5	0.0	509.0	108.5
ENSMUSG00000032497	677.0	679.0	757.5	619.5	753.0	929.5
ENSMUSG00000026491	10227.0	3261.0	5737.5	2130.5	12090.0	7711.0
ENSMUSG00000000346	1469.0	6072.0	2465.0	3624.5	2322.0	2182.5
ENSMUSG00000044408	220.0	887.0	708.5	1590.0	315.0	498.5
ENSMUSG00000062198	610.0	184.0	713.5	163.0	534.5	217.0
ENSMUSG00000067071	178.0	419.0	1522.0	1338.5	194.5	191.0
ENSMUSG00000007279	63.0	25.0	50.0	17.0	21.0	509.5
ENSMUSG00000026058	6308.0	976.0	9479.5	4475.0	4820.5	2949.5
ENSMUSG00000021361	986.0	989.0	1248.5	1073.0	838.0	1060.5
ENSMUSG00000063281	750.0	307.0	1265.0	712.5	576.0	250.0
ENSMUSG00000035227	1623.0	2170.0	4163.0	4188.5	2085.5	2925.0
ENSMUSG00000064105	964.0	322.0	347.0	352.0	604.0	285.5
ENSMUSG00000055660	955.0	648.0	816.0	391.5	696.5	480.5
ENSMUSG00000025104	212.0	1682.0	880.5	5401.5	225.0	726.0
ENSMUSG00000031948	7002.0	4945.0	9947.0	5311.0	7452.0	5225.5
ENSMUSG00000058932	10702.0	1.0	14399.5	10655.0	10135.5	5274.5
ENSMUSG00000036882	61.0	576.0	113.5	3932.0	44.5	96.5
ENSMUSG00000025198	818.0	225.0	387.0	239.0	870.5	739.5
ENSMUSG00000000439	1058.0	1102.0	708.5	562.0	730.0	357.5
ENSMUSG00000071078	356.0	160.0	700.0	150.0	408.0	152.0
ENSMUSG00000095406	9558.0	2881.0	8368.0	4247.5	8071.5	4462.5
ENSMUSG00000047371	104.0	898.0	258.5	1002.5	66.0	253.0
ENSMUSG00000086147	1144.0	186.0	2049.5	87.0	850.0	317.5
ENSMUSG00000096528	99.0	27.0	23.5	35.5	310.5	46.5
ENSMUSG00000024137	457.0	625.0	239.0	395.5	336.5	457.5
ENSMUSG00000009670	715.0	149.0	355.5	76.0	797.5	644.0
ENSMUSG00000029376	51.0	343.0	178.5	1071.5	81.5	150.5
ENSMUSG00000054863	56.0	77.0	430.5	3760.0	31.5	54.5
ENSMUSG00000097794	2.0	7.0	19.0	906.0	0.0	1.0
ENSMUSG00000030717	1122.0	20.0	528.0	4.0	67.5	34.0
ENSMUSG00000002329	319.0	404.0	601.0	905.0	448.5	353.5
ENSMUSG00000003309	461.0	52.0	305.0	1.5	467.5	257.0
ENSMUSG00000022571	575.0	552.0	1378.0	834.5	334.5	352.0
ENSMUSG00000095403	9538.0	19626.0	5996.5	24184.5	9815.0	12525.0
ENSMUSG00000078870	107.0	126.0	293.0	306.5	124.5	128.5
ENSMUSG00000092012	409.0	6.0	7.5	0.0	457.0	82.0
ENSMUSG00000036478	892.0	2079.0	694.5	3746.5	1400.0	3954.0
ENSMUSG00000024570	1027.0	404.0	755.5	296.5	1833.5	558.0
ENSMUSG00000031861	223.0	198.0	1153.5	151.0	334.5	1553.5
ENSMUSG00000035173	704.0	1378.0	435.0	755.5	750.0	996.0
ENSMUSG00000021375	1206.0	3582.0	984.0	1109.0	981.0	1548.5
ENSMUSG00000040888	1409.0	483.0	3048.5	439.0	1360.0	867.5
ENSMUSG00000036840	488.0	505.0	458.5	908.5	455.5	396.0
ENSMUSG00000047379	179.0	765.0	165.0	452.5	100.0	305.0
ENSMUSG00000097542	46.0	793.0	135.0	98.0	177.5	508.5
ENSMUSG00000028233	1738.0	1104.0	1313.5	1303.0	2029.5	1093.0
ENSMUSG00000032324	1656.0	3605.0	2299.0	7467.5	1550.5	3759.0
ENSMUSG00000025403	8807.0	2118.0	4129.0	1279.0	4807.5	1694.5
ENSMUSG00000040433	634.0	348.0	489.0	230.0	669.0	859.0
ENSMUSG00000023039	11.0	39.0	22.5	10.0	72.5	1383.0
ENSMUSG00000027584	19.0	47.0	52.5	809.5	6.0	59.5
ENSMUSG00000040195	877.0	881.0	220.5	154.0	403.0	353.5
ENSMUSG00000021366	471.0	1987.0	343.0	1346.5	346.0	1214.5
ENSMUSG00000030105	1765.0	3098.0	1396.0	2562.0	2312.0	2271.0
ENSMUSG00000063065	3344.0	4380.0	4119.0	4059.0	1838.5	1916.0
ENSMUSG00000022771	1939.0	1368.0	2472.5	3076.5	1363.0	1838.5
ENSMUSG00000031485	1346.0	1208.0	1149.5	716.0	1244.0	3506.0
ENSMUSG00000024800	608.0	266.0	1498.0	547.0	566.5	302.0
ENSMUSG00000023923	575.0	1067.0	1316.5	709.5	789.0	886.5
ENSMUSG00000033728	286.0	100.0	603.5	526.5	207.5	331.5
ENSMUSG00000071359	518.0	1244.0	944.5	2407.5	561.5	661.5
ENSMUSG00000029817	4467.0	1362.0	4806.0	5302.5	6733.0	3021.5
ENSMUSG00000029461	1397.0	1891.0	1348.0	4679.0	2062.5	3004.0
ENSMUSG00000025086	871.0	305.0	915.0	282.0	651.5	303.0
ENSMUSG00000047719	527.0	486.0	686.5	451.5	554.5	568.0
ENSMUSG00000003573	238.0	405.0	731.0	2889.5	248.0	1190.0
ENSMUSG00000015092	2025.0	1399.0	2906.0	2422.5	1911.5	1593.0
ENSMUSG00000020308	265.0	200.0	1099.0	980.5	190.0	232.5
ENSMUSG00000028990	550.0	755.0	615.5	348.0	796.5	1064.0
ENSMUSG00000051149	4447.0	8987.0	3054.0	5397.5	6337.0	6035.5
ENSMUSG00000002741	2416.0	2315.0	1856.5	3440.5	2393.0	2885.0
ENSMUSG00000033530	1640.0	1209.0	1188.5	1498.0	1198.0	1382.0
ENSMUSG00000035314	64.0	334.0	79.0	2295.5	16.5	2327.0
ENSMUSG00000021314	422.0	62.0	509.0	945.0	271.0	119.0
ENSMUSG00000059895	1126.0	1997.0	1331.5	1123.0	1833.5	653.5
ENSMUSG00000010592	648.0	226.0	288.0	5.5	1783.0	603.5
ENSMUSG00000039187	3102.0	335.0	1635.5	209.0	1938.0	582.0
ENSMUSG00000031907	121.0	323.0	220.0	710.5	98.5	168.0
ENSMUSG00000022753	45.0	4.0	770.5	55.0	87.5	42.0
ENSMUSG00000040123	392.0	624.0	577.5	1275.5	589.5	773.0
ENSMUSG00000028893	4850.0	897.0	5230.0	1282.5	7770.5	4471.0
ENSMUSG00000019791	509.0	524.0	468.5	339.5	382.5	316.0
ENSMUSG00000031226	1232.0	458.0	4889.5	990.5	1563.5	859.5
ENSMUSG00000004651	253.0	176.0	1258.0	337.5	111.0	16.5
ENSMUSG00000021245	1433.0	266.0	485.0	134.5	560.0	195.5
ENSMUSG00000053580	617.0	4768.0	1932.5	3853.0	655.5	2208.0
ENSMUSG00000042487	1838.0	878.0	1045.0	774.5	2303.0	1720.0
ENSMUSG00000032009	245.0	682.0	299.5	326.5	293.5	1432.0
ENSMUSG00000006519	257.0	605.0	416.5	49.0	210.0	619.0
ENSMUSG00000015176	6807.0	1186.0	6600.5	2402.0	10539.0	4601.0
ENSMUSG00000019782	1591.0	954.0	3213.0	2337.5	810.5	472.0
ENSMUSG00000031029	6505.0	9575.0	12472.5	8866.5	9750.5	6715.5
ENSMUSG00000031783	3122.0	3099.0	3037.0	1587.0	2612.5	1620.0
ENSMUSG00000063358	7120.0	9938.0	6119.0	7162.0	7656.0	6518.5
ENSMUSG00000097461	14.0	1405.0	66.5	602.5	0.0	0.0
ENSMUSG00000027669	634.0	2023.0	422.5	954.0	348.0	332.5
ENSMUSG00000047557	52.0	230.0	173.0	542.0	94.5	449.5
ENSMUSG00000029730	11663.0	3786.0	10971.5	5251.0	11663.0	6305.5
ENSMUSG00000095193	651.0	293.0	571.5	220.5	753.5	389.5
ENSMUSG00000054263	1211.0	1105.0	174.0	491.5	2217.5	10931.0
ENSMUSG00000020467	178.0	342.0	327.0	44.0	258.0	1069.0
ENSMUSG00000038418	387.0	289.0	90.0	15.0	1062.0	3055.5
ENSMUSG00000028967	261.0	801.0	550.5	840.5	530.5	3713.0
ENSMUSG00000034573	355.0	4803.0	1973.0	632.5	577.0	2472.5
ENSMUSG00000027577	6.0	22.0	98.0	3226.5	4.0	111.5
ENSMUSG00000024213	2000.0	2193.0	1791.5	6825.5	2212.5	1567.0
ENSMUSG00000040943	4139.0	1321.0	165.0	694.0	4742.5	673.5
ENSMUSG00000045248	358.0	294.0	472.0	236.0	1158.0	533.5
ENSMUSG00000040722	1562.0	122.0	1503.5	2356.0	1845.0	1252.0
ENSMUSG00000073291	20.0	0.0	0.0	10.5	26.5	13.5
ENSMUSG00000029447	12563.0	5124.0	11100.0	7447.5	14928.0	7463.5
ENSMUSG00000024427	3378.0	868.0	714.5	68.0	2398.0	156.5
ENSMUSG00000054364	415.0	2856.0	1563.5	4818.5	831.5	3649.0
ENSMUSG00000025485	1659.0	977.0	1026.0	1998.5	1182.0	952.0
ENSMUSG00000036523	62.0	293.0	333.0	486.5	37.0	379.5
ENSMUSG00000020553	189.0	450.0	263.0	221.5	211.0	223.5
ENSMUSG00000074516	9913.0	8425.0	13783.5	10255.0	9913.0	6101.5
ENSMUSG00000036672	2263.0	312.0	1464.5	1081.0	1860.5	1417.0
ENSMUSG00000021488	11390.0	5800.0	5023.5	6003.5	6831.5	5856.0
ENSMUSG00000028468	1273.0	3133.0	862.5	1114.5	975.0	1827.5
ENSMUSG00000075600	866.0	677.0	544.0	638.5	1180.5	427.0
ENSMUSG00000057561	4870.0	1316.0	5488.0	1434.5	8878.5	3862.0
ENSMUSG00000034912	253.0	235.0	194.0	418.0	318.0	218.5
ENSMUSG00000078869	627.0	181.0	315.0	76.0	520.5	297.0
