ensg	shChd4	shMcrs1	shLuc
ENSMUSG00000056919	269.3333333333333	96.5	271.0
ENSMUSG00000030207	242.66666666666663	127.5	352.0
ENSMUSG00000019892	579.6666666666666	0.0	421.5
ENSMUSG00000024187	1860.666666666667	2456.0	1638.5
ENSMUSG00000027703	120.33333333333331	88.5	169.5
ENSMUSG00000055515	71.33333333333333	207.0	150.5
ENSMUSG00000091381	74.0	214.0	154.5
ENSMUSG00000007589	1603.0	1525.0	1315.0
ENSMUSG00000000606	0.6666666666666666	0.5	1.5
ENSMUSG00000070448	0.6666666666666666	0.5	1.5
ENSMUSG00000028017	52.33333333333334	42.5	22.0
ENSMUSG00000074796	900.3333333333335	3011.0	1421.5
ENSMUSG00000026904	201.33333333333331	0.0	0.0
ENSMUSG00000022847	36.0	9.0	17.0
ENSMUSG00000100775	182.66666666666663	8.5	8.5
ENSMUSG00000086707	14.666666666666664	78.5	7.0
ENSMUSG00000068748	75.0	137.0	54.5
ENSMUSG00000038644	6730.333333333332	6189.0	6302.0
ENSMUSG00000020471	5266.666666666667	4484.0	3210.0
ENSMUSG00000030726	2045.333333333333	1258.5	2395.0
ENSMUSG00000024854	140.0	32.5	139.5
ENSMUSG00000024454	4173.0	4819.5	2835.5
ENSMUSG00000000253	513.6666666666666	429.0	703.5
ENSMUSG00000027823	26198.33333333333	19811.0	20156.0
ENSMUSG00000040511	618.0	442.5	273.0
ENSMUSG00000049288	370.66666666666674	405.0	426.0
ENSMUSG00000040167	564.0	264.0	714.0
ENSMUSG00000002578	52.66666666666666	43.0	56.0
ENSMUSG00000018654	76.66666666666667	18.0	49.0
ENSMUSG00000018168	25.0	28.0	25.5
ENSMUSG00000025997	79.66666666666667	58.5	82.0
ENSMUSG00000041126	7163.0	10554.0	8355.5
ENSMUSG00000059474	3349.666666666666	2656.5	1923.5
ENSMUSG00000049932	17115.333333333332	12647.0	20764.5
ENSMUSG00000015937	3172.0	1230.5	5630.0
ENSMUSG00000037894	18741.666666666668	14984.5	17599.5
ENSMUSG00000060032	4470.0	4482.0	5880.5
ENSMUSG00000019917	518.3333333333334	309.0	526.0
ENSMUSG00000031137	2481.6666666666665	4433.0	3160.0
ENSMUSG00000042826	37.66666666666666	0.0	25.0
ENSMUSG00000021732	1140.6666666666667	1229.5	1404.0
ENSMUSG00000022101	1368.3333333333333	1206.5	199.0
ENSMUSG00000031073	441.0	175.0	68.0
ENSMUSG00000025551	829.6666666666665	365.0	570.0
ENSMUSG00000079522	108.66666666666669	309.0	225.5
ENSMUSG00000040824	7435.0	7795.0	7133.5
ENSMUSG00000044664	28.66666666666667	7.0	19.5
ENSMUSG00000002477	3823.666666666666	3681.5	1896.5
ENSMUSG00000024114	87.0	62.0	66.5
ENSMUSG00000040669	39589.66666666666	38924.0	22611.0
ENSMUSG00000037652	391.0	371.5	717.5
ENSMUSG00000028796	1876.666666666667	2535.0	2514.5
ENSMUSG00000030245	1491.333333333333	990.5	1207.0
ENSMUSG00000053119	3349.0	4904.0	4536.5
ENSMUSG00000034190	2173.333333333333	1784.5	2872.0
ENSMUSG00000025371	1226.3333333333333	1131.5	1163.0
ENSMUSG00000028419	1254.0	735.0	1222.0
ENSMUSG00000033762	1029.3333333333333	656.5	1330.0
ENSMUSG00000021360	1182.6666666666667	888.5	1052.5
ENSMUSG00000030397	2161.6666666666665	2073.0	2037.0
ENSMUSG00000026620	597.3333333333334	678.0	887.0
ENSMUSG00000024969	3124.666666666666	3460.5	2647.0
ENSMUSG00000007411	3003.0	2765.5	5423.5
ENSMUSG00000028838	70.66666666666667	116.5	90.5
ENSMUSG00000027963	275.3333333333333	204.5	357.5
ENSMUSG00000021978	1709.333333333333	1215.5	1976.0
ENSMUSG00000071337	1312.6666666666667	1753.5	1052.0
ENSMUSG00000019158	2557.0	2680.0	2013.0
ENSMUSG00000026347	117.33333333333331	300.5	86.0
ENSMUSG00000029234	2050.6666666666665	2225.0	2370.5
ENSMUSG00000047045	804.0	1429.0	921.5
ENSMUSG00000012422	6653.0	9647.0	5367.5
ENSMUSG00000029569	674.0	704.0	832.5
ENSMUSG00000091472	106.33333333333331	112.5	115.0
ENSMUSG00000055725	511.66666666666674	806.0	463.0
ENSMUSG00000031709	669.6666666666666	792.0	953.0
ENSMUSG00000029174	1726.0	1164.5	2348.5
ENSMUSG00000039813	405.33333333333326	660.5	255.5
ENSMUSG00000033083	155.0	163.0	94.5
ENSMUSG00000023923	3133.666666666666	2899.0	4947.0
ENSMUSG00000021368	956.3333333333335	928.0	552.0
ENSMUSG00000074829	796.3333333333335	696.0	0.0
ENSMUSG00000097346	29.33333333333333	57.5	32.5
ENSMUSG00000021824	2009.666666666667	1628.0	1116.0
ENSMUSG00000031539	122.66666666666669	86.5	38.0
ENSMUSG00000040699	2566.6666666666665	2166.0	2955.0
ENSMUSG00000025239	809.0	928.5	1241.5
ENSMUSG00000026020	10556.333333333334	9109.0	6332.5
ENSMUSG00000076435	752.0	234.0	1147.5
ENSMUSG00000027405	9075.0	6484.0	7386.5
ENSMUSG00000030872	6706.333333333332	5123.0	7335.5
ENSMUSG00000078427	3501.666666666666	2111.5	1092.5
ENSMUSG00000029088	745.6666666666665	448.0	515.0
ENSMUSG00000079056	123.33333333333331	160.0	98.5
ENSMUSG00000025221	87.0	43.5	55.5
ENSMUSG00000032741	1060.6666666666667	840.0	895.0
ENSMUSG00000048677	73.0	88.5	44.5
ENSMUSG00000031626	75.33333333333333	72.5	67.0
ENSMUSG00000024940	259.6666666666667	102.5	360.5
ENSMUSG00000002020	130.66666666666666	234.0	374.5
ENSMUSG00000001870	1061.3333333333333	1383.5	1104.5
ENSMUSG00000096574	10.333333333333334	7.5	42.0
ENSMUSG00000035139	785.0	605.0	749.0
ENSMUSG00000024112	209.0	125.5	467.5
ENSMUSG00000034656	684.6666666666666	775.5	1008.0
ENSMUSG00000051331	47.66666666666666	51.0	81.5
ENSMUSG00000015968	24.0	61.0	69.0
ENSMUSG00000004110	14.666666666666664	22.0	19.0
ENSMUSG00000020866	71.66666666666667	115.0	169.5
ENSMUSG00000066324	2165.333333333333	2283.5	2092.5
ENSMUSG00000043190	172.66666666666663	179.5	376.5
ENSMUSG00000032410	1846.333333333333	1590.0	1995.5
ENSMUSG00000027433	14993.0	13230.5	16338.5
ENSMUSG00000047459	2326.0	2587.5	1392.0
ENSMUSG00000038845	13965.0	13829.0	13471.0
ENSMUSG00000007739	38244.333333333336	40804.0	47963.5
ENSMUSG00000109394	70.66666666666667	101.0	189.0
ENSMUSG00000073226	1188.0	721.5	933.5
ENSMUSG00000026174	5684.333333333332	8947.5	6656.0
ENSMUSG00000094759	0.3333333333333333	0.5	1.0
ENSMUSG00000035632	5201.666666666667	3244.5	4620.0
ENSMUSG00000020166	8876.666666666666	7073.5	9938.0
ENSMUSG00000036550	24085.66666666667	11845.0	36505.0
ENSMUSG00000031601	2232.0	2350.5	1913.5
ENSMUSG00000020362	2375.0	2710.0	1480.5
ENSMUSG00000038784	1692.0	1247.5	1533.5
ENSMUSG00000074677	0.0	226.0	0.0
ENSMUSG00000055053	745.0	554.0	1011.0
ENSMUSG00000026180	98.0	260.5	265.5
ENSMUSG00000030428	208.0	221.0	201.0
ENSMUSG00000034714	337.3333333333333	289.0	475.0
ENSMUSG00000045382	50.0	37.0	33.0
ENSMUSG00000001911	13.333333333333336	16.5	9.0
ENSMUSG00000020883	1678.666666666667	1853.0	1489.0
ENSMUSG00000035509	19.666666666666668	0.0	25.5
ENSMUSG00000072591	25.0	45.0	13.5
ENSMUSG00000031523	7802.0	4826.5	6990.5
ENSMUSG00000035268	1026.0	1219.0	1216.5
ENSMUSG00000027499	1824.666666666667	2146.5	1534.0
ENSMUSG00000019876	117.66666666666669	174.5	93.5
ENSMUSG00000019467	1139.6666666666667	722.5	1100.0
ENSMUSG00000023845	2690.0	2586.5	2929.0
ENSMUSG00000028100	67.66666666666667	53.5	46.0
ENSMUSG00000027610	1449.666666666667	2766.0	1757.0
ENSMUSG00000031584	2256.0	1767.0	3171.0
ENSMUSG00000021095	21.0	19.0	14.0
ENSMUSG00000055862	33.0	22.0	11.0
ENSMUSG00000026879	1885.333333333333	2550.5	3116.0
ENSMUSG00000000125	444.66666666666674	1138.0	226.0
ENSMUSG00000010797	27.33333333333333	55.0	21.0
ENSMUSG00000033227	199.0	1696.0	124.5
ENSMUSG00000036856	692.0	1810.0	680.5
ENSMUSG00000067629	427.33333333333326	406.0	431.0
ENSMUSG00000006818	4318.666666666667	5652.5	3624.0
ENSMUSG00000022286	1642.666666666667	1309.5	1481.5
ENSMUSG00000022982	27802.0	31680.5	20483.0
ENSMUSG00000043687	356.33333333333326	823.0	231.0
ENSMUSG00000000385	308.6666666666667	509.5	316.5
ENSMUSG00000032268	40.333333333333336	173.5	35.5
ENSMUSG00000038760	72.0	0.0	0.0
ENSMUSG00000053553	938.3333333333335	638.5	1234.5
ENSMUSG00000033737	933.3333333333335	1022.5	302.0
ENSMUSG00000021379	37.66666666666666	25.5	16.5
ENSMUSG00000020644	1030.3333333333333	1868.5	1905.5
ENSMUSG00000007872	1640.0	2499.0	4051.0
ENSMUSG00000042745	2112.333333333333	2573.5	3671.0
ENSMUSG00000004896	321.0	351.0	349.0
ENSMUSG00000027506	4335.333333333333	2041.5	5656.0
ENSMUSG00000040963	5.0	9.5	35.0
ENSMUSG00000063157	8.333333333333334	20.5	15.5
ENSMUSG00000001622	978.6666666666665	1305.0	792.5
ENSMUSG00000035726	12494.666666666664	5329.5	7852.0
ENSMUSG00000025086	1026.0	748.5	802.5
ENSMUSG00000039826	1666.666666666667	1963.0	1583.5
ENSMUSG00000042215	349.0	538.5	331.0
ENSMUSG00000035847	397.0	449.5	299.5
ENSMUSG00000070619	86.33333333333331	0.0	53.0
ENSMUSG00000044452	1166.0	860.5	1470.0
ENSMUSG00000032348	14051.333333333336	11589.0	8499.5
ENSMUSG00000057933	3.333333333333333	6.5	7.5
ENSMUSG00000025934	72.0	108.5	61.0
ENSMUSG00000038622	647.6666666666666	695.0	949.5
ENSMUSG00000020801	503.0	614.5	470.5
ENSMUSG00000027463	47.33333333333334	59.5	51.0
ENSMUSG00000071719	643.0	1012.5	753.5
ENSMUSG00000070871	1487.666666666667	3172.0	2302.5
ENSMUSG00000001670	3.333333333333333	7.5	26.5
ENSMUSG00000041523	56.66666666666666	15.0	105.5
ENSMUSG00000009995	406.0	561.5	275.0
ENSMUSG00000029482	1116.3333333333333	1114.5	1813.0
ENSMUSG00000097851	17.666666666666668	34.0	1.5
ENSMUSG00000060057	0.6666666666666666	0.5	1.5
ENSMUSG00000064006	0.6666666666666666	0.5	1.5
ENSMUSG00000042670	2653.6666666666665	3594.0	2704.0
ENSMUSG00000006488	0.0	0.0	0.0
ENSMUSG00000033728	685.3333333333334	1169.5	239.0
ENSMUSG00000052316	64.33333333333333	39.0	465.5
ENSMUSG00000045763	6441.333333333332	7693.0	13387.5
ENSMUSG00000042742	2563.0	2459.0	2375.5
ENSMUSG00000037787	849.6666666666665	992.5	540.0
ENSMUSG00000032508	262.0	136.0	175.0
ENSMUSG00000022687	109.66666666666669	105.5	65.5
ENSMUSG00000021357	1017.0	539.5	1303.5
ENSMUSG00000040455	643.3333333333334	334.5	531.5
ENSMUSG00000040659	1254.0	976.0	1255.0
ENSMUSG00000038827	607.0	605.5	354.5
ENSMUSG00000036699	51.33333333333334	51.5	48.5
ENSMUSG00000018239	620.6666666666666	409.5	358.5
ENSMUSG00000061410	912.0	321.0	1337.0
ENSMUSG00000006777	17.333333333333332	26.0	76.5
ENSMUSG00000035775	59.0	20.5	61.0
ENSMUSG00000002661	1024.3333333333333	1328.5	830.5
ENSMUSG00000024613	9258.0	5516.0	11059.5
ENSMUSG00000031701	8568.666666666666	5854.0	8974.5
ENSMUSG00000004069	2093.333333333333	1042.0	1898.0
ENSMUSG00000028410	11864.0	6950.5	4930.0
ENSMUSG00000032285	94.33333333333331	56.5	91.0
ENSMUSG00000030714	1465.333333333333	2897.5	1616.0
ENSMUSG00000038007	1205.0	1078.0	668.5
ENSMUSG00000030760	459.0	649.5	605.0
ENSMUSG00000030243	782.0	561.5	722.5
ENSMUSG00000042498	35.666666666666664	1.0	80.0
ENSMUSG00000047656	38.66666666666666	15.5	23.0
ENSMUSG00000026246	2.333333333333333	0.0	107.5
ENSMUSG00000025937	1084.3333333333333	576.0	904.5
ENSMUSG00000040812	63.33333333333334	70.0	48.0
ENSMUSG00000058690	808.3333333333335	494.5	891.5
ENSMUSG00000039578	909.0	401.5	1405.0
ENSMUSG00000031216	412.0	269.5	1420.5
ENSMUSG00000033705	388.0	158.5	557.5
ENSMUSG00000009549	1637.666666666667	1020.0	1579.0
ENSMUSG00000018167	620.3333333333334	719.5	423.5
ENSMUSG00000014504	1237.0	1047.0	809.5
ENSMUSG00000079608	22.33333333333333	0.0	3.0
ENSMUSG00000027367	3202.333333333333	4126.0	4345.5
ENSMUSG00000024378	1470.333333333333	1423.0	1568.0
ENSMUSG00000046027	374.66666666666674	229.0	272.0
ENSMUSG00000052085	94.33333333333331	85.0	131.0
ENSMUSG00000025558	907.3333333333335	632.0	1014.0
ENSMUSG00000020143	90.0	67.5	173.0
ENSMUSG00000039716	374.33333333333326	523.0	511.5
ENSMUSG00000058325	1570.333333333333	931.0	954.0
ENSMUSG00000032198	4078.0	1951.0	5541.5
ENSMUSG00000028556	1644.0	1289.5	1543.5
